ticker,company,sector,industry_code,exchange,state,ipo_date,fiscal_year_end,employees,sales,cogs,sga,r_and_d,ebitda,ebit,interest_expense,net_income,dividends,capex,cfo,total_assets,total_liabilities,total_debt,cash,book_equity,shares_out,price,mktcap,ret_2025,vol,beta_2025
QUAD,Quad/Graphics Inc,Industrials,202010,NYSE,WI,2010-07-06,2025-12-31,10.1,2419.9,1896.6,325.9,2.9,197.4,118.8,50.5,27.0,15.1,45.2,95.9,1252.9,1124.3,444.0,63.3,128.6,50.9,6.27,319.143,-0.0522,0.549,0.9758
NGNE,Neurogene Inc,Health Care,352010,NASDAQ,NY,2014-03-07,2025-12-31,0.131,0.0,0.0,100.116,75.011,-100.116,-103.208,0.005,-90.351,0.0,1.183,-77.173,288.604,23.717,9.891,269.013,264.887,15.49,20.6,319.094,-0.0989,1.088,1.9212
CAMP,Camp4 Therapeutics Corp,Health Care,352010,NASDAQ,MA,2024-10-11,2025-12-31,0.048,3.498,53.92,,38.202,-50.422,-52.061,,-80.403,0.0,0.279,-29.553,117.808,70.104,1.974,110.863,47.704,51.903,6.13,318.165,0.1743,1.376,0.8996
PROK,Prokidney Corp,Health Care,352010,NASDAQ,NC,2021-06-30,2025-12-31,0.231,0.893,159.86,,114.123,-158.967,-164.689,0.004,-68.986,0.0,15.196,-120.117,335.574,34.781,4.036,270.017,-1011.213,141.807,2.24,317.648,0.3254,5.302,2.0371
NVEC,Nve Corp,Information Technology,453010,NASDAQ,MN,1990-05-04,2026-03-31,0.042,26.331,5.14,4.811,3.16,16.38,15.92,0.0,15.199,19.349,2.189,16.658,60.38,2.131,0.907,19.839,58.249,4.837,65.5,316.823,-0.2267,0.448,1.2336
LRMR,Larimar Therapeutics Inc,Health Care,352010,NASDAQ,PA,,2025-12-31,0.071,0.0,0.0,172.147,154.224,-172.147,-172.497,0.0,-165.673,0.0,0.091,-113.201,145.842,67.757,4.067,136.852,78.085,83.09,3.81,316.573,-0.0155,1.012,1.4491
DBI,Designer Brands Inc,Consumer Discretionary,255040,NYSE,OH,1991-06-10,2026-01-31,13.0,2892.671,1575.102,1204.27,0.0,113.299,54.22,45.338,-8.374,9.652,31.605,109.86,1947.633,1659.873,1237.849,50.871,282.486,49.795,6.34,315.7,0.465,0.984,1.9555
XOMA,Xoma Royalty Corp,Health Care,352010,NASDAQ,CA,,2025-12-31,0.014,52.149,37.793,,1.712,14.356,11.384,13.031,31.712,0.0,0.0,2.871,272.698,168.738,131.555,88.731,83.892,11.859,26.59,315.331,0.0118,0.523,0.8613
ALLO,Allogene Therapeutics,Health Care,352010,NASDAQ,CA,2018-10-11,2025-12-31,0.152,0.0,191.168,,150.152,-191.168,-203.527,1.075,-190.886,0.0,0.386,-149.246,415.905,123.363,83.253,250.21,292.542,229.414,1.37,314.297,-0.3568,0.985,1.2237
LOCO,El Pollo Loco Holdings Inc,Consumer Discretionary,253010,NASDAQ,CA,2014-07-25,2025-12-31,4.034,490.046,381.25,47.795,0.0,61.001,45.035,4.47,26.486,0.0,22.635,48.076,606.648,315.571,241.006,6.228,291.077,29.957,10.46,313.35,-0.0936,0.362,0.4722
FLWS,1-800-Flowers.Com,Consumer Discretionary,255040,NASDAQ,NY,1999-08-03,2025-06-30,3.9,1685.658,1026.761,647.045,,11.852,-41.766,15.438,-199.993,0.0,41.463,-26.363,772.617,504.335,271.326,46.502,268.282,63.619,4.92,313.005,-0.519,0.809,1.1507
