gvkey,tic,conm,fyear,sale,cogs,xsga,oiadp,ni,at
171141,FIVE,FIVE BELOW INC,2024,3876.527,2497.751,855.243,356.086,253.611,4339.574
036203,VNT,VONTIER CORP,2024,2979.0,1528.7,797.0,549.2,422.2,4310.5
032382,ROKU,ROKU INC,2024,4112.898,2221.571,1992.816,-164.203,-129.386,4303.933
165052,UAA,UNDER ARMOUR INC,2024,5164.31,2689.566,2140.942,198.102,-201.267,4300.871
036404,DKNG,DRAFTKINGS INC,2024,4767.699,2679.561,2364.451,-547.313,-507.285,4283.725
039676,IHS,IHS HOLDING LIMITED,2024,1711.225,540.828,324.705,473.766,-1632.025,4276.992
180652,VRSK,VERISK ANALYTICS INC,2024,2881.7,901.1,404.4,1270.3,958.2,4264.7
178672,CVI,CVR ENERGY INC,2024,7610.0,7115.0,139.0,58.0,7.0,4263.0
030463,GBX,GREENBRIER COS INC (THE),2024,3544.7,2870.6,247.1,311.4,160.1,4254.5
019730,PCTY,PAYLOCITY HOLDING CORP,2024,1281.68,367.363,699.724,138.167,206.766,4245.46
008486,TPC,TUTOR PERINI CORP,2024,4326.922,4076.097,300.791,-103.753,-163.721,4242.71
264265,ALNY,ALNYLAM PHARMACEUTICALS INC,2024,2248.243,268.27,2101.758,-176.885,-278.157,4239.983
033243,WH,WYNDHAM HOTELS & RESRTS,2024,1408.0,649.0,130.0,558.0,289.0,4223.0
022783,KEN,KENON HOLDINGS LTD,2024,751.304,521.877,91.446,47.838,597.673,4213.241
025110,ICUI,ICU MEDICAL INC,2024,2382.046,1462.708,583.295,116.531,-117.688,4203.931
175686,PRIM,PRIMORIS SERVICES CORP,2024,6366.838,5587.736,363.686,319.894,180.888,4195.868
024116,FSV,FIRSTSERVICE CORP,2024,5216.894,3498.974,1229.541,323.11,134.375,4194.852
024783,TTEK,TETRA TECH INC,2024,5198.679,4258.562,356.024,510.416,333.382,4192.676
038477,DRS,LEONARDO DRS INC,2024,3234.0,2429.0,407.0,307.0,213.0,4184.0
